OBJECT_TYPE	BUSINESS_TYPE	DEXT	DISPLAY	UPPER_LEVEL_NAMING
AIRBUS_E_VPMReference_LowerLevel	Design Simulation	AIRBUS_E_DEXT_Identification	TRUE
AIRBUS_E_VPMReference_LowerLevel	Design Simulation	AIRBUS_E_DEXT_BusinessType	TRUE
AIRBUS_E_VPMReference_LowerLevel	Design Simulation	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP	TRUE
AIRBUS_E_VPMReference_LowerLevel	Design Simulation	AIRBUS_E_DEXT_ReferenceStatus	TRUE
AIRBUS_E_VPMReference_LowerLevel	Design Simulation	AIRBUS_E_DEXT_ValidationDate	TRUE
AIRBUS_E_VPMReference_LowerLevel	Design Simulation	AIRBUS_E_DEXT_RPTech	TRUE
AIRBUS_E_VPMReference_LowerLevel	Design Simulation	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
Piping_Rigid_Pipe	Elementary Part	AIRBUS_E_DEXT_DDeVDerivedFrom	TRUE	
Piping_Rigid_Pipe	Elementary Part	AIRBUS_E_DEXT_DDeVManual	TRUE	
Piping_Rigid_Pipe	Elementary Part	AIRBUS_E_DEXT_DDeVType	TRUE	
Piping_Rigid_Pipe	Elementary Part	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
Piping_Spool	Storable Assembly	AIRBUS_E_DEXT_DDeVDerivedFrom	TRUE	
Piping_Spool	Storable Assembly	AIRBUS_E_DEXT_DDeVManual	TRUE	
Piping_Spool	Storable Assembly	AIRBUS_E_DEXT_DDeVType	TRUE	
Piping_Spool	Storable Assembly	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Project Definition	AIRBUS_E_DEXT_Identification	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Project Definition	AIRBUS_E_DEXT_BusinessType	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Project Definition	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Project Definition	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Project Definition	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Project Definition	AIRBUS_E_DEXT_RPTech	TRUE
AIRBUS_E_VPMReference_LowerLevel	Project Definition	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
VPMReference	3DEQ	AIRBUS_E_CEXT_3DEQ	TRUE
			 
