BUSINESS_TYPE	SUBTYPE	SUBTYPE_PATTERN	PARENT_BUSINESS_TYPE	PARENT_TYPE	RESTRICTED_PARENT_BT	USE_NAMING_RULE	SUBTYPE_DESC	PARENT_SUBTYPE	CHECK_PARENT_APN
Extended Item	SolidEnvelopPart	.+-(SEP(([0-9][0-9][1-9])|([1-9][0-9][0-9])|([0-9][1-9][0-9])))	Storable Assembly	NA	NA	YES	NA	NA	YES
Extended Item	SolidEnvelopPart	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}-RTSA-.+-(SEP(([0-9][0-9][1-9])|([1-9][0-9][0-9])|([0-9][1-9][0-9])))	Refer To	NA	NA	YES	NA	RTSA	YES
Extended Item	SolidEnvelopPart	.+-(SEP(([0-9][0-9][1-9])|([1-9][0-9][0-9])|([0-9][1-9][0-9])))	Elementary Part	NA	NA	YES	NA	NA	YES
Extended Item	CompositeDesignedPlies	.+-(CPD(([0-9][0-9][1-9])|([1-9][0-9][0-9])|([0-9][1-9][0-9])))	Storable Assembly	NA	NA	YES	NA	NA	YES
Extended Item	CompositeDesignedPlies	.+-(CPD(([0-9][0-9][1-9])|([1-9][0-9][0-9])|([0-9][1-9][0-9])))	Elementary Part	NA	NA	YES	NA	NA	YES
Extended Item	ToolingSurface	.+-(SUR(([0-9][0-9][1-9])|([1-9][0-9][0-9])|([0-9][1-9][0-9])))	Storable Assembly	NA	NA	YES	NA	NA	YES
Extended Item	ToolingSurface	.+-(SUR(([0-9][0-9][1-9])|([1-9][0-9][0-9])|([0-9][1-9][0-9])))	Elementary Part	NA	NA	YES	NA	NA	YES
Extended Item	StudySolidDefinition	.+-(STU(([0-9][0-9][1-9])|([1-9][0-9][0-9])|([0-9][1-9][0-9])))	Storable Assembly	NA	NA	YES	NA	NA	YES
Extended Item	StudySolidDefinition	.+-(STU(([0-9][0-9][1-9])|([1-9][0-9][0-9])|([0-9][1-9][0-9])))	Elementary Part	NA	NA	YES	NA	NA	YES
Refer To	RTEP	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}-RTEP-.+	EM	NA	NA	YES	NA	NA	NO
Refer To	RTEP	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}-RTEP-.+	Specialized Item	NA	NA	YES	NA	NA	NO
Refer To	RTEP	[A-Z0-9]{6}J[0-9]{4}[A-Z0-9]{4}-RTEP-.+	EM	NA	NA	YES	NA	NA	NO
Refer To	RTSA	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}-RTSA-.+	EM	NA	NA	YES	NA	NA	NO
Refer To	RTSA	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}-RTSA-.+	Specialized Item	NA	NA	YES	NA	NA	NO
Refer To	RTSP	.+-RTSP-.+	Specialized Item	NA	NA	YES	NA	NA	NO
Refer To	RTSP	.+-RTSP-.+	EM	NA	NA	YES	NA	NA	NO
Refer To	RTMT	.+-RTMT-.+	EM	NA	NA	YES	NA	NA	NO
Refer To	RTMT	.+-RTMT-.+	Specialized Item	NA	NA	YES	NA	NA	NO
Refer To	RTEP	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}-RTEP-.+	Storable Assembly	NA	NA	YES	NA	NA	NO
Refer To	RTEP	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}-RTEP-.+	Specialized Item	NA	NA	YES	NA	NA	NO
Refer To	RTEP	[A-Z0-9]{6}J[0-9]{4}[A-Z0-9]{4}-RTEP-.+	Storable Assembly	NA	NA	YES	NA	NA	NO
Refer To	RTSP	.+-RTSP-.+	Storable Assembly	NA	NA	YES	NA	NA	NO
Refer To	RTSP	.+-RTSP-.+	Specialized Item	NA	NA	YES	NA	NA	NO
Refer To	RTMT	.+-RTMT-.+	Storable Assembly	NA	NA	YES	NA	NA	NO
Refer To	RTEP	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}-RTEP-.+	Refer To	NA	NA	YES	NA	RTSA	NO
Refer To	RTEP	[A-Z0-9]{6}J[0-9]{4}[A-Z0-9]{4}-RTEP-.+	Refer To	NA	NA	YES	NA	RTSA	NO
Refer To	RTSA	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}-RTSA-.+	Refer To	NA	NA	YES	NA	RTSA	NO
Refer To	RTSP	.+-RTSP-.+	Refer To	NA	NA	YES	NA	RTSA	NO
Refer To	RTSP	.+-RTSP-.+	Specialized Item	NA	NA	YES	NA	RTSA	NO
Refer To	RTMT	.+-RTMT-.+	Refer To	NA	NA	YES	NA	RTSA	NO
Refer To	RTSP	.+-RTSP-.+	Project Definition	NA	NA	YES	NA	IFA	NO
Refer To	RTMT	.+-RTMT-.+	Project Definition	NA	NA	YES	NA	IFA	NO
Refer To	RTEP	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}-RTEP-.+	Project Definition	NA	NA	YES	NA	IFA	NO
Refer To	RTEP	[A-Z0-9]{6}J[0-9]{4}[A-Z0-9]{4}-RTEP-.+	Project Definition	NA	NA	YES	NA	IFA	NO
Refer To	RTSA	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}-RTSA-.	Project Definition	NA	NA	YES	NA	IFA	NO
Dummy Non 3D CAD	cDocument	[A-Z0-9]{15}-DOC([0-9][0-9][1-9]|[0-9][1-9]0|[1-9]00)	EM	NA	NA	YES	NA	NA	NO
Dummy Non 3D CAD	cDrawing	[A-Z0-9]{15}-DRW([0-9][0-9][1-9]|[0-9][1-9]0|[1-9]00)	EM	NA	NA	YES	NA	NA	NO
Drawing	NA	[A-Z0-9]{15}-DRW(00[1-9]|0[1-9][0-9]|[1-9][0-9]{2})	Dummy Non 3D CAD	NA	NA	YES	NA	NA	YES
Drawing	NA	[A-Z0-9]{15}-DRW(00[1-9]|0[1-9][0-9]|[1-9][0-9]{2})-(0[1-9]|[1-9][0-9]|100)	Dummy Non 3D CAD	NA	NA	YES	NA	NA	YES
Drawing	NA	.*{15}	Storable Assembly	NA	NA	YES	NA	NA	YES
Drawing	NA	[A-Z0-9]{15}-(0[1-9]|[1-9][0-9])	Storable Assembly	NA	NA	YES	NA	NA	YES
Drawing	NA	[A-Z0-9]{15}-[A-Z0-9]{6}-(0[1-9]|[1-9][0-9])	Specialized Item	NA	NA	YES	NA	NA	YES
Drawing	NA	[A-Z0-9]{15}	Elementary Part	NA	NA	YES	NA	NA	YES
Drawing	NA	[A-Z0-9]{15}-(0[1-9]|[1-9][0-9])	Elementary Part	NA	NA	YES	NA	NA	YES
Drawing	NA	[A-Z0-9]{15}-IFA(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	Project Definition	NA	NA	YES	NA	IFA	YES
Document	NA	[A-Z0-9]{15}-NOT(([0-9][0-9][1-9])|([0-9][1-9][0-9])|([1-9][0-9][0-9]))	cComplexAlternative	NA	NA	YES	NA	NA	YES
Drawing	NA	[A-Z0-9]{16}-IFA(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))-(0[1-9]|[1-9][0-9])	Project Definition	NA	NA	YES	NA	IFA	YES
Project Definition	IFA	[A-Z0-9]{15}-IFA(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	EM	NA	NA	YES	NA	NA	NO
Project Definition	IFA	[A-Z0-9]{15}-IFA(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	Project Definition	NA	NA	YES	NA	IFA	NO
Project Definition	IFP	[A-Z0-9]{15}-IFP(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	Project Definition	NA	NA	YES	NA	IFA	NO
Project Definition	PDA	[A-Z0-9]{15}-PDA(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	EM	NA	NA	YES	NA	NA	NO
Project Definition	PDA	[A-Z0-9]{15}-PDA(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	Project Definition	NA	NA	YES	NA	PDA	NO
Project Definition	PDP	[A-Z0-9]{15}-PDP(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	EM	NA	NA	YES	NA	NA	NO
Project Definition	PDP	[A-Z0-9]{15}-PDP(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	Project Definition	NA	NA	YES	NA	PDA	NO
Project Definition	PDR	[A-Z0-9]{15}-PDR(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	EM	NA	NA	YES	NA	NA	NO
Project Definition	PDR	[A-Z0-9]{15}-PDR(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	Project Definition	NA	NA	YES	NA	PDA	NO
Project Definition	SKA	[A-Z0-9]{15}-SKA(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	EM	NA	NA	YES	NA	NA	NO
Project Definition	SKA	[A-Z0-9]{15}-SKA(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	Project Definition	NA	NA	YES	NA	SKA	NO
Project Definition	SKP	[A-Z0-9]{15}-SKP(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	EM	NA	NA	YES	NA	NA	NO
Project Definition	SKP	[A-Z0-9]{15}-SKP(([0-9][0-9][1-9])|([1-9][0][0])|([0-9][1-9][0]))	Project Definition	NA	NA	YES	NA	SKA	NO
